,Symbol,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
0,TSLA,2024-04-22,140.55999755859375,144.44000244140625,138.8000030517578,142.0500030517578,107097600,0.0,0.0
1,TSLA,2024-04-23,143.3300018310547,147.25999450683594,141.11000061035156,144.67999267578125,124545100,0.0,0.0
2,TSLA,2024-04-24,162.83999633789062,167.97000122070312,157.50999450683594,162.1300048828125,181178000,0.0,0.0
3,TSLA,2024-04-25,158.9600067138672,170.8800048828125,158.36000061035156,170.17999267578125,126427500,0.0,0.0
4,TSLA,2024-04-26,168.85000610351562,172.1199951171875,166.3699951171875,168.2899932861328,109815700,0.0,0.0
0,TM,2024-04-22,228.17999267578125,231.14999389648438,227.8800048828125,230.3000030517578,448100,0.0,0.0
1,TM,2024-04-23,228.10000610351562,230.63999938964844,227.82000732421875,230.41000366210938,362000,0.0,0.0
2,TM,2024-04-24,232.85000610351562,233.99000549316406,231.8300018310547,232.8800048828125,273400,0.0,0.0
3,TM,2024-04-25,223.0,225.49000549316406,222.38999938964844,225.36000061035156,319100,0.0,0.0
4,TM,2024-04-26,225.0,226.97999572753906,224.57000732421875,226.7100067138672,242100,0.0,0.0
0,STLA,2024-04-22,24.600000381469727,24.65999984741211,24.360000610351562,24.579999923706055,7453700,1.652,0.0
1,STLA,2024-04-23,24.950000762939453,25.020000457763672,24.729999542236328,24.959999084472656,5395600,0.0,0.0
2,STLA,2024-04-24,24.950000762939453,25.0,24.709999084472656,24.860000610351562,5338200,0.0,0.0
3,STLA,2024-04-25,24.479999542236328,24.65999984741211,24.350000381469727,24.600000381469727,4610500,0.0,0.0
4,STLA,2024-04-26,24.709999084472656,24.969999313354492,24.559999465942383,24.739999771118164,4322900,0.0,0.0
0,BMWYY,2024-04-22,37.689998626708984,37.900001525878906,37.54999923706055,37.869998931884766,51100,0.0,0.0
1,BMWYY,2024-04-23,37.7400016784668,38.16999816894531,37.720001220703125,38.16999816894531,33200,0.0,0.0
2,BMWYY,2024-04-24,37.810001373291016,38.09000015258789,37.709999084472656,38.06999969482422,24200,0.0,0.0
3,BMWYY,2024-04-25,37.400001525878906,37.70000076293945,37.25,37.599998474121094,60200,0.0,0.0
4,BMWYY,2024-04-26,37.86000061035156,38.11000061035156,37.83000183105469,37.959999084472656,36300,0.0,0.0
0,RACE,2024-04-22,406.4800109863281,410.9150085449219,405.5050048828125,410.2699890136719,179900,2.604,0.0
1,RACE,2024-04-23,418.6000061035156,425.54998779296875,417.5400085449219,424.739990234375,273400,0.0,0.0
2,RACE,2024-04-24,422.5799865722656,424.9100036621094,418.0,420.3299865722656,237200,0.0,0.0
3,RACE,2024-04-25,411.6199951171875,415.0249938964844,409.8599853515625,412.2099914550781,510000,0.0,0.0
4,RACE,2024-04-26,417.0199890136719,422.7300109863281,416.7300109863281,422.4599914550781,217500,0.0,0.0
0,VWAGY,2024-04-22,14.800000190734863,14.920000076293945,14.739999771118164,14.90999984741211,372000,0.0,0.0
1,VWAGY,2024-04-23,14.800000190734863,15.029999732971191,14.800000190734863,15.010000228881836,135900,0.0,0.0
2,VWAGY,2024-04-24,14.899999618530273,14.949999809265137,14.8100004196167,14.84000015258789,256600,0.0,0.0
3,VWAGY,2024-04-25,14.630000114440918,14.6899995803833,14.5,14.675000190734863,256800,0.0,0.0
4,VWAGY,2024-04-26,14.930000305175781,14.949999809265137,14.800999641418457,14.859999656677246,90200,0.0,0.0
0,HMC,2024-04-22,34.209999084472656,34.650001525878906,34.18000030517578,34.54999923706055,1001500,0.0,0.0
1,HMC,2024-04-23,34.40999984741211,34.599998474121094,34.34000015258789,34.58000183105469,790800,0.0,0.0
2,HMC,2024-04-24,34.70000076293945,34.70000076293945,34.33000183105469,34.40999984741211,699300,0.0,0.0
3,HMC,2024-04-25,33.54999923706055,33.72999954223633,33.310001373291016,33.650001525878906,1147200,0.0,0.0
4,HMC,2024-04-26,33.63999938964844,33.900001525878906,33.630001068115234,33.849998474121094,1287500,0.0,0.0
0,F,2024-04-22,12.162280330726077,12.745199535233636,12.102999916553498,12.72544002532959,86462700,0.0,0.0
1,F,2024-04-23,12.89340006918516,12.89340006918516,12.666159581327364,12.784719467163086,62807100,0.0,0.0
2,F,2024-04-24,12.784719307160843,12.893399907822767,12.626639461358268,12.794599533081055,74510400,0.0,0.0
3,F,2024-04-25,12.695799598755254,13.021839503393561,12.478439348252994,12.883519172668457,86944100,0.0,0.0
4,F,2024-04-26,12.606879697136051,12.863759912492315,12.458679138016583,12.636519432067871,57257800,0.0,0.0
0,GM,2024-04-22,42.68000030517578,43.560001373291016,42.209999084472656,43.209999084472656,21315100,0.0,0.0
1,GM,2024-04-23,45.88999938964844,45.959999084472656,44.369998931884766,45.099998474121094,28767300,0.0,0.0
2,GM,2024-04-24,45.310001373291016,45.310001373291016,44.619998931884766,45.08000183105469,15013900,0.0,0.0
3,GM,2024-04-25,44.66999816894531,45.849998474121094,44.4900016784668,45.619998931884766,14912500,0.0,0.0
4,GM,2024-04-26,45.599998474121094,46.16999816894531,45.40999984741211,45.84000015258789,12153300,0.0,0.0
0,LI,2024-04-22,24.329999923706055,25.155000686645508,24.1200008392334,24.90999984741211,13861200,0.0,0.0
1,LI,2024-04-23,25.1200008392334,25.6299991607666,24.780000686645508,24.809999465942383,10016900,0.0,0.0
2,LI,2024-04-24,24.739999771118164,24.799999237060547,23.799999237060547,23.8700008392334,10039200,0.0,0.0
3,LI,2024-04-25,23.170000076293945,23.559999465942383,23.040000915527344,23.469999313354492,6875600,0.0,0.0
4,LI,2024-04-26,25.40999984741211,25.729999542236328,24.635000228881836,25.040000915527344,12985000,0.0,0.0
0,FUJHY,2024-04-22,10.720000267028809,10.770000457763672,10.670000076293945,10.75,74700,0.0,0.0
1,FUJHY,2024-04-23,10.529999732971191,10.75,10.529999732971191,10.699999809265137,82300,0.0,0.0
2,FUJHY,2024-04-24,10.800000190734863,10.880000114440918,10.729999542236328,10.770000457763672,102700,0.0,0.0
3,FUJHY,2024-04-25,10.65999984741211,10.65999984741211,10.369999885559082,10.489999771118164,166400,0.0,0.0
4,FUJHY,2024-04-26,11.020000457763672,11.020000457763672,10.569999694824219,10.800000190734863,572700,0.0,0.0
0,NSANY,2024-04-22,7.0,7.289999961853027,7.0,7.159999847412109,127800,0.0,0.0
1,NSANY,2024-04-23,7.039999961853027,7.400000095367432,7.039999961853027,7.150000095367432,287400,0.0,0.0
2,NSANY,2024-04-24,7.059999942779541,7.150000095367432,7.059999942779541,7.110000133514404,174300,0.0,0.0
3,NSANY,2024-04-25,7.199999809265137,7.199999809265137,6.949999809265137,7.019999980926514,256300,0.0,0.0
4,NSANY,2024-04-26,6.869999885559082,7.289999961853027,6.849999904632568,7.099999904632568,182400,0.0,0.0
0,RIVN,2024-04-22,8.460000038146973,8.859999656677246,8.3149995803833,8.789999961853027,35054900,0.0,0.0
1,RIVN,2024-04-23,8.720000267028809,9.239999771118164,8.6850004196167,9.039999961853027,33568600,0.0,0.0
2,RIVN,2024-04-24,9.15999984741211,9.199999809265137,8.692999839782715,8.84000015258789,34694500,0.0,0.0
3,RIVN,2024-04-25,8.619999885559082,8.710000038146973,8.460000038146973,8.520000457763672,21892100,0.0,0.0
4,RIVN,2024-04-26,8.550000190734863,9.039999961853027,8.5,9.039999961853027,28226100,0.0,0.0
0,NIO,2024-04-22,3.680000066757202,4.050000190734863,3.609999895095825,4.0,60179600,0.0,0.0
1,NIO,2024-04-23,3.990000009536743,4.130000114440918,3.9800000190734863,4.010000228881836,41987800,0.0,0.0
2,NIO,2024-04-24,4.150000095367432,4.21999979019165,4.050000190734863,4.150000095367432,34562000,0.0,0.0
3,NIO,2024-04-25,4.050000190734863,4.170000076293945,4.03000020980835,4.130000114440918,25888400,0.0,0.0
4,NIO,2024-04-26,4.429999828338623,4.539999961853027,4.389999866485596,4.489999771118164,59264500,0.0,0.0
0,HOG,2024-04-22,38.279998779296875,39.22999954223633,38.060001373291016,38.9900016784668,1657900,0.0,0.0
1,HOG,2024-04-23,39.33000183105469,40.13999938964844,38.79999923706055,39.7400016784668,2139700,0.0,0.0
2,HOG,2024-04-24,39.72999954223633,39.84000015258789,39.04999923706055,39.439998626708984,1917200,0.0,0.0
3,HOG,2024-04-25,38.349998474121094,38.560001373291016,32.209999084472656,33.22999954223633,10619400,0.0,0.0
4,HOG,2024-04-26,33.650001525878906,35.11000061035156,33.22999954223633,34.75,3444400,0.0,0.0
0,PII,2024-04-22,88.30000305175781,89.68000030517578,87.06999969482422,88.19999694824219,1291600,0.0,0.0
1,PII,2024-04-23,87.66000366210938,89.27999877929688,84.12999725341797,86.5,1764500,0.0,0.0
2,PII,2024-04-24,86.26000213623047,87.19000244140625,84.43000030517578,85.20999908447266,1176800,0.0,0.0
3,PII,2024-04-25,84.5,84.52999877929688,82.22000122070312,83.27999877929688,2505900,0.0,0.0
4,PII,2024-04-26,83.41999816894531,85.19000244140625,83.37999725341797,83.80999755859375,646800,0.0,0.0
0,WGO,2024-04-22,62.900001525878906,64.45999908447266,62.59000015258789,63.68000030517578,465500,0.0,0.0
1,WGO,2024-04-23,63.9900016784668,65.22000122070312,63.779998779296875,64.9800033569336,363200,0.0,0.0
2,WGO,2024-04-24,64.63999938964844,65.33999633789062,64.02999877929688,64.58000183105469,407600,0.0,0.0
3,WGO,2024-04-25,63.56999969482422,63.61000061035156,61.77000045776367,62.5099983215332,556400,0.0,0.0
4,WGO,2024-04-26,62.4900016784668,63.45000076293945,62.459999084472656,63.06999969482422,314700,0.0,0.0
